timestamp,huksy_x,huksy_y,pred_x,pred_y,x_error,y_error
1750867052.7386565,-0.08916586349420526,2.021003112918478,-0.08811481294851223,2.012724799638677,-0.0010510505456930302,0.008278313279800997
1750867053.1513436,-0.08121769290230232,1.9474141526588613,-0.06212509167341067,1.8080238405348186,-0.019092601228891656,0.13939031212404274
1750867053.332127,-0.07222743478061018,1.864176917122564,-0.05074113071134909,1.7183611734108217,-0.021486304069261088,0.14581574371174222
1750867053.5223367,-0.06139654494905532,1.7638980023490765,-0.038760541839919394,1.6239993291012356,-0.022636003109135924,0.1398986732478409
1750867053.6995642,-0.05176707906840848,1.6747425956025044,-0.027600946944385155,1.5361038201749877,-0.024166132124023326,0.13863877542751668
1750867053.8944132,-0.04227204822167338,1.5876074434555292,-0.015334551524412258,1.4394908984496155,-0.026937496697261122,0.14811654500591365
1750867054.084769,-0.02991314204627719,1.4727825655375788,-0.0033419057814912043,1.345034091476446,-0.026571236264785986,0.12774847406113277
1750867054.2580898,-0.021875612725063737,1.3984656136346314,0.007572452536838728,1.2590701216394289,-0.029448065261902467,0.13939549199520251
1750867054.4338815,-0.011668747199553381,1.3040945019532872,0.018640171930404202,1.1718982450743012,-0.030308919129957583,0.13219625687898606
1750867054.6172051,-0.0031080364531373642,1.2249338263651564,0.030189145521747292,1.0809359009310462,-0.033297181974884654,0.14399792543411016
1750867054.789325,0.007606057419495065,1.125844981765679,0.030189145521747292,1.0809359009310462,-0.02258308810225223,0.04490908083463285
1750867054.9610946,0.01687179716069094,1.0483613246533185,0.030189145521747292,1.0809359009310462,-0.013317348361056351,-0.03257457627772764
1750867055.1346164,0.037407388390438646,1.0075216928279007,0.030189145521747292,1.0809359009310462,0.007218242868691355,-0.07341420810314547
1750867055.3008223,0.05487744482657285,1.0118543023120967,0.030189145521747292,1.0809359009310462,0.024688299304825558,-0.06908159861894947
1750867055.473453,0.061602251385217466,1.0122727244376108,0.030189145521747292,1.0809359009310462,0.031413105863470174,-0.06866317649343534
1750867055.6401205,0.0625319045037577,1.0129792922762824,0.030189145521747292,1.0809359009310462,0.03234275898201041,-0.06795660865476383
1750867055.8073323,0.0640342068942281,1.0125901939315731,0.10649077648670366,1.0467137591104247,-0.042456569592475554,-0.03412356517885162
1750867055.9900813,0.07100216644161006,1.0072627506799325,0.18985734711699842,1.009322912189746,-0.11885518067538836,-0.002060161509813474
1750867056.188296,0.1280086468532892,0.9722690480914834,0.28026786469942516,0.9687727756375846,-0.15225921784613597,0.00349627245389883
1750867056.3851013,0.19073739273609822,0.9371261867661244,0.37006383206512394,0.9284982717869367,-0.17932643932902573,0.00862791497918769
1750867056.592057,0.2939752382433148,0.8742429116421672,0.46447947966781344,0.8861517892611694,-0.17050424142449866,-0.011908877619002278
1750867056.7886395,0.36509279526573457,0.8358554632094227,0.46447947966781344,0.8861517892611694,-0.09938668440207887,-0.05029632605174672
1750867056.9694357,0.45241318907142164,0.7828413607293812,0.46447947966781344,0.8861517892611694,-0.012066290596391804,-0.10331042853178829
1750867057.146795,0.4935567561339789,0.7507709972259452,0.46447947966781344,0.8861517892611694,0.02907727646616548,-0.13538079203522424
1750867057.325356,0.4776958638268438,0.7383332548543899,0.46447947966781344,0.8861517892611694,0.01321638415903037,-0.1478185344067795
1750867057.4913647,0.47435292531477347,0.7318023529251624,0.46447947966781344,0.8861517892611694,0.009873445646960022,-0.15434943633600706
1750867057.675835,0.4732549456029927,0.729651077270496,0.46447947966781344,0.8861517892611694,0.00877546593517925,-0.1565007119906734
1750867057.860545,0.47273670220913017,0.7300775070361528,0.47051481926390987,0.7939892920275892,0.0022218829452202993,-0.06391178499143635
1750867058.0423641,0.47623368721449727,0.717652503869666,0.4764552319032207,0.7032763744328752,-0.00022154468872342958,0.014376129436790785
1750867058.2025354,0.4877800090848659,0.6634268026818225,0.4816893088946131,0.6233495370844772,0.006090700190252818,0.04007726559734537
1750867058.3798127,0.5003708345438305,0.5879838439133169,0.48747974383684717,0.5349268500346812,0.0128910907069833,0.053056993878635716
1750867058.573045,0.5247628337353702,0.4723215187966998,0.49379427896165135,0.43850090469972225,0.030968554773718904,0.033820614096977564
